date,value
1999-02-19T05:00Z,14.98747253
1999-02-20T05:00Z,27.73801041
1999-02-21T05:00Z,14.98747253
1999-02-22T05:00Z,11.63206863
1999-02-23T05:00Z,13.8690052
1999-02-24T05:00Z,16.10594177
1999-02-25T05:00Z,16.10594177
1999-02-26T05:00Z,12.75053692
1999-02-27T05:00Z,13.8690052
1999-02-28T05:00Z,10.2899065
1999-03-01T05:00Z,14.98747253
1999-03-02T05:00Z,16.10594177
1999-03-03T05:00Z,17.2244091
1999-03-04T05:00Z,13.8690052
1999-03-05T05:00Z,14.98747253
1999-03-06T05:00Z,19.68503952
1999-03-07T05:00Z,14.98747253
1999-03-08T05:00Z,17.2244091
1999-03-09T05:00Z,16.10594177
1999-03-10T05:00Z,18.34287834
1999-03-11T05:00Z,14.98747253
2000-02-20T05:00Z,17.2244091
2000-02-21T05:00Z,11.63206863
2000-02-22T05:00Z,27.73801041
2000-02-23T05:00Z,24.15891266
2000-02-24T05:00Z,11.63206863
2000-02-25T05:00Z,16.10594177
2000-02-26T05:00Z,23.04044533
2000-02-27T05:00Z,11.63206863
2000-02-28T05:00Z,17.2244091
2000-02-29T05:00Z,17.2244091
2000-03-01T05:00Z,20.80350876
2000-03-02T05:00Z,13.8690052
2000-03-03T05:00Z,12.75053692
2000-03-04T05:00Z,29.97494507
2000-03-05T05:00Z,11.63206863
2000-03-06T05:00Z,14.98747253
2000-03-07T05:00Z,14.98747253
2000-03-08T05:00Z,23.04044533
2000-03-09T05:00Z,14.98747253
2000-03-10T05:00Z,16.10594177
2000-03-11T05:00Z,12.75053692
2001-02-19T05:00Z,13.8690052
2001-02-20T05:00Z,14.98747253
2001-02-21T05:00Z,26.39584923
2001-02-22T05:00Z,18.34287834
2001-02-23T05:00Z,17.2244091
2001-02-24T05:00Z,18.34287834
2001-02-25T05:00Z,14.98747253
2001-02-26T05:00Z,11.63206863
2001-02-27T05:00Z,11.63206863
2001-02-28T05:00Z,19.68503952
2001-03-01T05:00Z,16.10594177
2001-03-02T05:00Z,11.63206863
2001-03-03T05:00Z,17.2244091
2001-03-04T05:00Z,17.2244091
2001-03-05T05:00Z,17.2244091
2001-03-06T05:00Z,12.75053692
2001-03-07T05:00Z,16.10594177
2001-03-08T05:00Z,27.73801041
2001-03-09T05:00Z,13.8690052
2001-03-10T05:00Z,12.75053692
2001-03-11T05:00Z,18.34287834
2002-02-19T05:00Z,12.75053692
2002-02-20T05:00Z,10.2899065
2002-02-21T05:00Z,11.63206863
2002-02-22T05:00Z,18.34287834
2002-02-23T05:00Z,14.98747253
2002-02-24T05:00Z,12.75053692
2002-02-25T05:00Z,13.8690052
2002-02-26T05:00Z,11.63206863
2002-02-27T05:00Z,14.98747253
2002-02-28T05:00Z,16.10594177
2002-03-01T05:00Z,13.8690052
2002-03-02T05:00Z,13.8690052
2002-03-03T05:00Z,19.68503952
2002-03-04T05:00Z,13.8690052
