Unnamed: 0,year,Observed Max Temp,Observed Min Temp,Max Observed Precipitation,month,0,D0,D1,D2,D3,D4,W0,W1,W2,W3,W4,Max Wind Speed,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,GIS_ACRES,Shape__Area,Shape__Length,Damage Inspection Date,Damage,Structure Type,# Units in Structure (if multi unit),Latitude,Longitude,Fuel Moisture Date,PERCENT
32,2001,72.05082703,51.73324203,20.7455784,11/1/01,,,,,,,,,,,,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,11/26/01,65.0
33,2001,72.05082703,51.73324203,20.7455784,12/1/01,,,,,,,,,,,,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,12/10/01,72.0
34,2002,72.62106323,51.41127014,6.782572569,1/1/02,0.5,99.5,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,1/8/02,83.0
35,2002,72.62106323,51.41127014,6.782572569,1/1/02,0.5,99.5,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,1/22/02,83.0
36,2002,72.62106323,51.41127014,6.782572569,2/1/02,0.0,100.0,100.0,82.5,10.2,0.0,0.0,0.0,0.0,0.0,0.0,13.7347888,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,2/5/02,88.0
37,2002,72.62106323,51.41127014,6.782572569,2/1/02,0.0,100.0,100.0,82.5,10.2,0.0,0.0,0.0,0.0,0.0,0.0,13.7347888,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,2/19/02,102.0
38,2002,72.62106323,51.41127014,6.782572569,3/1/02,0.0,100.0,100.0,99.9,86.5,6.8,0.0,0.0,0.0,0.0,0.0,17.40743151,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,3/5/02,113.0
39,2002,72.62106323,51.41127014,6.782572569,3/1/02,0.0,100.0,100.0,99.9,86.5,6.8,0.0,0.0,0.0,0.0,0.0,17.40743151,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,3/19/02,109.0
40,2002,72.62106323,51.41127014,6.782572569,4/1/02,0.0,100.0,100.0,100.0,99.7,32.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,4/2/02,107.0
41,2002,72.62106323,51.41127014,6.782572569,4/1/02,0.0,100.0,100.0,100.0,99.7,32.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,4/16/02,89.0
42,2002,72.62106323,51.41127014,6.782572569,4/1/02,0.0,100.0,100.0,100.0,99.7,32.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inaccessible,inaccessible,unknown,1.0,,,4/30/02,81.0
43,2002,72.62106323,51.41127014,6.782572569,5/1/02,0.0,100.0,100.0,100.0,100.0,71.2,0.0,0.0,0.0,0.0,0.0,,102688,5/23/02,5/23/02,14.0,298.9299,1786884.883,6990.025641,inaccessible,inaccessible,unknown,1.0,,,5/28/02,77.0
44,2002,72.62106323,51.41127014,6.782572569,5/1/02,0.0,100.0,100.0,100.0,100.0,71.2,0.0,0.0,0.0,0.0,0.0,,101874,5/22/02,5/22/02,7.0,66.40936,396360.2734,4315.611381,inaccessible,inaccessible,unknown,1.0,,,5/28/02,77.0
45,2002,72.62106323,51.41127014,6.782572569,6/1/02,0.0,99.9,99.9,99.9,99.6,58.0,0.0,0.0,0.0,0.0,0.0,,1949,6/18/02,6/20/02,14.0,1404.16,8435124.254,15282.22125,inaccessible,inaccessible,unknown,1.0,,,6/18/02,72.0
46,2002,72.62106323,51.41127014,6.782572569,6/1/02,0.0,99.9,99.9,99.9,99.6,58.0,0.0,0.0,0.0,0.0,0.0,,112310,6/5/02,6/12/02,2.0,19101.64,114250021.6,97960.45347,inaccessible,inaccessible,unknown,1.0,,,6/18/02,72.0
47,2002,72.62106323,51.41127014,6.782572569,6/1/02,0.0,99.9,99.9,99.9,99.6,58.0,0.0,0.0,0.0,0.0,0.0,,111675,6/4/02,6/4/02,7.0,118.3375,707068.1445,5796.4494,inaccessible,inaccessible,unknown,1.0,,,6/18/02,72.0
48,2002,72.62106323,51.41127014,6.782572569,7/1/02,0.0,99.9,99.9,99.9,99.6,43.1,0.0,0.0,0.0,0.0,0.0,,153545,7/9/02,7/9/02,7.0,64.8705,386159.2305,5259.46068,inaccessible,inaccessible,unknown,1.0,,,7/2/02,72.0
