station,"Weather Station at Los Angeles International Airport, Los Angeles (LAX), California"
variable,Maximum Wind Speed
units,mph
record high,"34.7 on February 22, 1987"
record low,"6.9 on February 21, 2009"

date,value
1997-02-28T05:00Z,14.9874725342
1997-03-01T05:00Z,16.1059417725
1997-03-02T05:00Z,12.7505369186
1997-03-03T05:00Z,19.6850395203
1997-03-04T05:00Z,16.1059417725
1997-03-05T05:00Z,13.8690052032
1997-03-06T05:00Z,12.7505369186
1997-03-07T05:00Z,13.8690052032
1997-03-08T05:00Z,11.632068634
1997-03-09T05:00Z,13.8690052032
1997-03-10T05:00Z,16.1059417725
1997-03-11T05:00Z,14.9874725342
1998-02-19T05:00Z,23.0404453278
1998-02-20T05:00Z,13.8690052032
1998-02-21T05:00Z,17.2244091034
1998-02-22T05:00Z,18.3428783417
1998-02-23T05:00Z,28.8564777374
1998-02-24T05:00Z,19.6850395203
1998-02-25T05:00Z,21.9219760895
1998-02-26T05:00Z,16.1059417725
1998-02-27T05:00Z,13.8690052032
1998-02-28T05:00Z,13.8690052032
1998-03-01T05:00Z,12.7505369186
1998-03-02T05:00Z,12.7505369186
1998-03-03T05:00Z,12.7505369186
1998-03-04T05:00Z,11.632068634
1998-03-05T05:00Z,27.7380104065
1998-03-06T05:00Z,25.277381897
1998-03-07T05:00Z,14.9874725342
1998-03-08T05:00Z,13.8690052032
1998-03-09T05:00Z,13.8690052032
1998-03-10T05:00Z,14.9874725342
1998-03-11T05:00Z,13.8690052032
1999-02-19T05:00Z,14.9874725342
1999-02-20T05:00Z,27.7380104065
1999-02-21T05:00Z,14.9874725342
1999-02-22T05:00Z,11.632068634
1999-02-23T05:00Z,13.8690052032
1999-02-24T05:00Z,16.1059417725
1999-02-25T05:00Z,16.1059417725
1999-02-26T05:00Z,12.7505369186
1999-02-27T05:00Z,13.8690052032
1999-02-28T05:00Z,10.2899065018
1999-03-01T05:00Z,14.9874725342
1999-03-02T05:00Z,16.1059417725
1999-03-03T05:00Z,17.2244091034
1999-03-04T05:00Z,13.8690052032
1999-03-05T05:00Z,14.9874725342
1999-03-06T05:00Z,19.6850395203
