OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
759,2021,CA,CCO,LAC,LIMA,00207495,2021/07/06 00:00:00+00,2021/07/06 00:00:00+00,14,1,1,61.52447, ,,{7BAF08DE-5382-4B84-8C00-545DA09F312D},,,2020,368931.28125,3723.94078217574
760,2021,CA,CCO,LAC,DULCE,00205231,2021/07/04 00:00:00+00,2021/07/04 00:00:00+00,14,1,1,12.19143, ,,{4166DD78-F457-4195-AA62-F13F497B4BD4},,,2020,72843.36328125,1372.73361260489
761,2021,CA,CCO,LAC,TUMBLEWEED,00205212,2021/07/04 00:00:00+00,2021/07/08 00:00:00+00,14,1,1,856.8701, ,,{7004765C-68A1-4A89-AD4F-6F7C6F7663FE},,,2020,5150536.13671875,17039.1214432664
762,2021,CA,CCO,LAC,FLORES,00223635,2021/07/19 00:00:00+00,2021/07/19 00:00:00+00,14,1,1,6.922003, ,,{B907C5DC-8E75-4BD1-B949-AF76487B736B},,,2020,40922.27734375,1173.61544978681
763,2021,CA,CCO,LAC,SYCAMORE,00240307,2021/08/02 00:00:00+00,2021/08/02 00:00:00+00,10,1,1,3.27472, ,,{19A3FED9-54EE-4186-88EA-DBFC1A618469},,,2020,19692.67578125,615.439122138747
764,2021,CA,CCO,LAC,VASQUEZ,00244896,2021/08/06 00:00:00+00,2021/08/06 00:00:00+00,14,1,1,1.501651, ,,{46959910-EF6F-46B5-8B5A-62177E17B609},,,2020,8964.01171875,594.401024090168
765,2021,CA,CCO,LAC,GOLDEN,00246149,2021/08/07 00:00:00+00,2021/08/07 00:00:00+00,10,1,1,19.88849, ,,{CE88B3A6-4657-439D-8DFF-68DF556B368F},,,2020,118472.01171875,3090.81560394961
766,2021,CA,CCO,LAC,DALTON,00304402,2021/09/24 00:00:00+00,2021/09/24 00:00:00+00,10,1,1,2.21358, ,,{8FD28016-3834-41FA-90B9-C9E8D3333AC6},,,2020,13117.1484375,665.076004830206
767,2021,CA,LRA,LAC,TONNER,00310831,2021/09/30 00:00:00+00,2021/09/30 00:00:00+00,14,1,1,1.969455, ,,{3D28F642-20F1-4A23-B6FE-38A440B8276D},,,2020,11616.12109375,442.469459640313
768,2021,CA,CCO,LAC,TUNA,00211043,2021/07/09 00:00:00+00,2021/07/09 00:00:00+00,14,4,1,4.544237, ,,{3EB9DD67-C19B-4BF6-B8A0-1EEDA2924B03},,,2020,26855.39453125,893.374158362318
769,2021,CA,CCO,LAC,MIDDLE,00386317,2021/11/11 00:00:00+00,2021/11/11 00:00:00+00,11,1,1,17.06123, ,,,,,2020,99265.796875,1238.32352484562
813,2021,CA,CCO,LAC,BOAT,02130196,2021/07/01 00:00:00+00,2021/07/01 00:00:00+00,10,1,1,1.496656,South Fire Crew 10,,,,,2020,9008.015625,807.78356103229
949,2021,CA,CCO,LAC,PACIFICO,,2021/01/17 00:00:00+00,2021/01/17 00:00:00+00,15,7,1,2.883715,,,,,,2020,17045.55859375,769.721101577619
955,2021,CA,CCO,LAC,ROCKY 3,00070396,2021/08/18 00:00:00+00,2021/08/18 00:00:00+00,14,4,1,2.237706,,,{7DDA650C-1CCF-43B8-B0D5-6FC6C532E903},,,2020,13293.8984375,486.862066528628
1168,2020,CA,CCO,LAC,EQUESTRIAN,00167541,2020/06/08 00:00:00+00,2020/06/09 00:00:00+00,11,1,1,83.61877,,,{F7256433-1F41-42E3-80AD-1FB6806AB74C},,,2020,499137.76953125,3815.29825199733
1169,2020,CA,CCO,LAC,SOLEDAD,00197926,2020/07/05 00:00:00+00,2020/07/07 00:00:00+00,9,1,1,1525.536,,,{44797D81-7F12-447F-9D0E-B9AB3EBE8D6C},,,2020,9101965.32421875,23117.5582574448
1170,2020,CA,CCO,LAC,RIDGE,00222638,2020/07/27 00:00:00+00,2020/07/28 00:00:00+00,14,7,1,320.8393,,,{BE918A6A-BC2E-4306-B328-0EE1D9CDC9BA},,,2020,1928676.69140625,12353.9659255893
