STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,LAT,LON,ELE
691,2002-12-24,Chamise,None,92.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-01-15,Chamise,None,121.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-01-29,Chamise,None,146.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-02-19,Chamise,None,150.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-03-05,Chamise,None,137.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-03-19,Chamise,None,138.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-04-02,Chamise,None,151.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-04-23,Chamise,None,153.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-05-07,Chamise,None,131.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-05-21,Chamise,None,138.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-06-04,Chamise,None,137.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-06-18,Chamise,None,121.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-07-09,Chamise,None,113.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-07-23,Chamise,None,90.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-08-06,Chamise,None,78.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-08-20,Chamise,None,78.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-09-03,Chamise,None,72.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-09-17,Chamise,None,69.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-10-08,Chamise,None,70.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-10-22,Chamise,None,69.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-11-05,Chamise,None,68.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-11-19,Chamise,None,68.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-12-03,Chamise,None,68.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2003-12-17,Chamise,None,65.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2004-01-08,Chamise,None,74.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
691,2004-01-23,Chamise,None,80.0,"Laurel Canyon, Mt. Olympus",SOCC,LA County,34.124722222222225,-118.36888888888888,1305.0
