0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
99.8,d_19030101,0.2,0,0,0,0,0,0,0,0,0,0
41.8,d_19030201,58.2,0,0,0,0,0,0,0,0,0,0
98.8,d_19030301,0,0,0,0,0,0,1.2,0,0,0,0
32.2,d_19030401,0,0,0,0,0,0,67.8,1.1,0,0,0
45,d_19030501,0,0,0,0,0,0,55,0.5,0,0,0
39.7,d_19030601,0,0,0,0,0,0,60.3,0.9,0,0,0
25.1,d_19030701,0,0,0,0,0,0,74.9,2.2,0,0,0
53.5,d_19030801,0,0,0,0,0,0,46.5,0,0,0,0
45.5,d_19030901,0,0,0,0,0,0,54.5,0,0,0,0
1.4,d_19031001,0,0,0,0,0,0,98.6,52.6,0,0,0
0,d_19031101,0,0,0,0,0,0,100,95.6,34.8,0,0
20.7,d_19031201,79.3,16.7,0,0,0,0,0,0,0,0,0
0,d_19040101,100,100,100,100,100,0,0,0,0,0,0
0,d_19040201,100,100,100,100,26.2,0,0,0,0,0,0
0,d_19040301,100,100,1,0,0,0,0,0,0,0,0
0,d_19040401,100,100,0,0,0,0,0,0,0,0,0
0,d_19040501,100,100,1.2,0,0,0,0,0,0,0,0
0,d_19040601,100,100,4.5,0,0,0,0,0,0,0,0
0,d_19040701,100,99.4,0.8,0,0,0,0,0,0,0,0
1.3,d_19040801,98.7,1.4,0,0,0,0,0,0,0,0,0
100,d_19040901,0,0,0,0,0,0,0,0,0,0,0
89.2,d_19041001,0,0,0,0,0,0,10.8,0,0,0,0
100,d_19041101,0,0,0,0,0,0,0,0,0,0,0
44.3,d_19041201,55.7,14.1,0,0,0,0,0,0,0,0,0
100,d_19050101,0,0,0,0,0,0,0,0,0,0,0
14,d_19050201,0,0,0,0,0,0,86,5.3,0,0,0
0,d_19050301,0,0,0,0,0,0,100,100,0.7,0,0
0,d_19050401,0,0,0,0,0,0,100,99,0,0,0
0,d_19050501,0,0,0,0,0,0,100,98.5,1.2,0,0
0,d_19050601,0,0,0,0,0,0,100,97.6,1,0,0
0,d_19050701,0,0,0,0,0,0,100,100,5,0,0
0,d_19050801,0,0,0,0,0,0,100,100,13.9,0,0
0,d_19050901,0,0,0,0,0,0,100,100,42.8,1,0
0,d_19051001,0,0,0,0,0,0,100,100,81.6,9,0
0,d_19051101,0,0,0,0,0,0,100,100,16.1,1,0
85.6,d_19051201,14.4,0,0,0,0,0,0,0,0,0,0
100,d_19060101,0,0,0,0,0,0,0,0,0,0,0
86.3,d_19060201,13.7,0,0,0,0,0,0,0,0,0,0
64.8,d_19060301,0,0,0,0,0,0,35.2,0,0,0,0
62.7,d_19060401,0,0,0,0,0,0,37.3,0,0,0,0
16.1,d_19060501,0,0,0,0,0,0,84,2,0,0,0
15,d_19060601,0,0,0,0,0,0,85,2.9,0,0,0
0,d_19060701,0,0,0,0,0,0,100,24.9,0,0,0
15.7,d_19060801,0,0,0,0,0,0,84.3,0.4,0,0,0
0,d_19060901,0,0,0,0,0,0,100,80.1,0,0,0
0,d_19061001,0,0,0,0,0,0,100,89.7,0,0,0
0,d_19061101,0,0,0,0,0,0,99.9,99.9,79.9,17,0
0,d_19061201,0,0,0,0,0,0,100,100,32.2,0,0
0,d_19070101,0,0,0,0,0,0,100,100,100,79,0
0,d_19070201,0,0,0,0,0,0,100,100,19.1,0,0
0,d_19070301,0,0,0,0,0,0,100,100,92,14,0
0,d_19070401,0,0,0,0,0,0,100.1,100.1,49.6,3.4,0
0,d_19070501,0,0,0,0,0,0,100.1,100.1,49.1,2.5,0
0,d_19070601,0,0,0,0,0,0,100,100,60.1,3.7,0
0,d_19070701,0,0,0,0,0,0,100,100,92,11.8,0
0,d_19070801,0,0,0,0,0,0,100,100,91.5,15,0
0,d_19070901,0,0,0,0,0,0,100,99,0,0,0
23.4,d_19071001,0,0,0,0,0,0,76.7,1.5,0,0,0
14.5,d_19071101,0,0,0,0,0,0,85.5,34.6,0,0,0
9.9,d_19071201,90.1,40.4,0,0,0,0,0,0,0,0,0
99.8,d_19080101,0,0,0,0,0,0,0.2,0,0,0,0
99.9,d_19080201,0,0,0,0,0,0,0.1,0,0,0,0
100,d_19080301,0,0,0,0,0,0,0,0,0,0,0
98.8,d_19080401,1.2,0,0,0,0,0,0,0,0,0,0
98,d_19080501,2,0,0,0,0,0,0,0,0,0,0
98.7,d_19080601,1.3,0,0,0,0,0,0,0,0,0,0
43.1,d_19080701,56.9,0,0,0,0,0,0,0,0,0,0
100,d_19080801,0,0,0,0,0,0,0,0,0,0,0
96.1,d_19080901,0,0,0,0,0,0,3.9,0,0,0,0
100,d_19081001,0,0,0,0,0,0,0,0,0,0,0
14.8,d_19081101,85.3,25.6,0,0,0,0,0,0,0,0,0
100,d_19081201,0,0,0,0,0,0,0,0,0,0,0
0.1,d_19090101,0,0,0,0,0,0,99.9,44.5,0,0,0
0,d_19090201,0,0,0,0,0,0,100,97.8,0,0,0
0,d_19090301,0,0,0,0,0,0,100,97.8,0,0,0
0,d_19090401,0,0,0,0,0,0,100,72.7,0,0,0
0.8,d_19090501,0,0,0,0,0,0,99.2,37.3,0,0,0
2.5,d_19090601,0,0,0,0,0,0,97.6,4.4,0,0,0
1.7,d_19090701,0,0,0,0,0,0,98.3,14.6,0,0,0
1.1,d_19090801,0,0,0,0,0,0,98.9,49.6,0,0,0
0,d_19090901,0,0,0,0,0,0,100,97.5,0,0,0
52.2,d_19091001,0,0,0,0,0,0,47.8,0,0,0,0
99.2,d_19091101,0,0,0,0,0,0,0.8,0,0,0,0
0,d_19091201,0,0,0,0,0,0,100,97.7,20.6,0,0
0,d_19100101,0,0,0,0,0,0,100.1,90.2,5.7,0,0
81.5,d_19100201,0,0,0,0,0,0,18.5,3.4,0,0,0
92.1,d_19100301,0,0,0,0,0,0,8,0.6,0,0,0
97.4,d_19100401,0,0,0,0,0,0,2.6,0,0,0,0
99.3,d_19100501,0,0,0,0,0,0,0.7,0,0,0,0
99,d_19100601,0,0,0,0,0,0,1,0,0,0,0
97.8,d_19100701,0,0,0,0,0,0,2.2,0,0,0,0
99.6,d_19100801,0,0,0,0,0,0,0.4,0,0,0,0
